员工编号,年龄,性别,婚姻状况,婚姻状况编码,学历,学历编码,专业,是否成年,部门,岗位,职级,出差频率,出差频率编码,离家距离,是否加班,是否加班编码,标准工时,年度培训次数,总工龄,本企业工龄,现岗年限,晋升间隔,与现任经理共事年限,跳槽次数,月收入,时薪,日薪,月薪,调薪幅度,股权激励等级,股权激励等级编码,环境满意,环境满意编码,人际关系满意,人际关系满意编码,工作满意,工作满意编码,敬业度,敬业度编码,工作与生活平衡,工作与生活平衡编码,绩效评级,绩效评级编码,是否离职,是否离职编码,员工计数
1,41,女,单身,0,大专,2,生命科学,是,销售部,销售主管,2,偶尔出差,0,1,是,1,80,0,8,6,4,0,5,8,5993,94,1102,19479,0.11,无,0,中,2,低,1,非常高,4,高,3,差,1,优秀,3,是,1,1
2,49,男,已婚,1,大专以下,1,生命科学,是,研发部,研究科学家,2,频繁出差,1,8,否,0,80,3,10,10,7,1,7,1,5130,61,279,24907,0.23,低级,1,高,3,非常高,4,中,2,中,2,更好,3,杰出,4,否,0,1
4,37,男,单身,0,大专,2,其他,是,研发部,实验室技术员,1,偶尔出差,0,2,是,1,80,3,7,0,0,0,0,6,2090,92,1373,2396,0.15,无,0,非常高,4,中,2,高,3,中,2,更好,3,优秀,3,是,1,1
5,33,女,已婚,1,硕士,4,生命科学,是,研发部,研究科学家,1,频繁出差,1,3,是,1,80,3,8,8,7,3,0,1,2909,56,1392,23159,0.11,无,0,非常高,4,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
7,27,男,已婚,1,大专以下,1,医学,是,研发部,实验室技术员,1,偶尔出差,0,2,否,0,80,3,6,2,2,2,2,9,3468,40,591,16632,0.12,低级,1,低,1,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
8,32,男,单身,0,大专,2,生命科学,是,研发部,实验室技术员,1,频繁出差,1,2,否,0,80,2,8,7,7,3,6,0,3068,79,1005,11864,0.13,无,0,非常高,4,高,3,非常高,4,高,3,好,2,优秀,3,否,0,1
10,59,女,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,3,是,1,80,3,12,1,0,0,0,4,2670,81,1324,9964,0.2,高级,3,高,3,低,1,低,1,非常高,4,好,2,杰出,4,否,0,1
11,30,男,离异,2,大专以下,1,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,24,否,0,80,2,1,1,0,0,0,1,2693,67,1358,13335,0.22,低级,1,非常高,4,中,2,高,3,高,3,更好,3,杰出,4,否,0,1
12,38,男,单身,0,本科,3,生命科学,是,研发部,制造总监,3,频繁出差,1,23,否,0,80,2,10,9,7,1,8,0,9526,44,216,8787,0.21,无,0,非常高,4,中,2,高,3,中,2,更好,3,杰出,4,否,0,1
13,36,男,已婚,1,本科,3,医学,是,研发部,医疗代表,2,偶尔出差,0,27,否,0,80,3,17,7,7,7,7,6,5237,94,1299,16577,0.13,中级,2,高,3,中,2,高,3,高,3,好,2,优秀,3,否,0,1
14,35,男,已婚,1,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,16,否,0,80,5,6,5,4,0,3,0,2426,84,809,16479,0.13,低级,1,低,1,高,3,中,2,非常高,4,更好,3,优秀,3,否,0,1
